Longitude,Latitude,Year,Month,Avg Capacity (1000 m3/d),Avg Throughput (1000 m3/d),Avg Throughput (GJ/d)
-112.018,53.6374,2011,7,69478.0,43122.871039051606,1630044.5252761508
-112.018,53.6374,2011,8,69478.0,44161.97065692581,1669322.4908317954
-112.018,53.6374,2011,9,69478.0,39243.20544543334,1483393.16583738
-112.018,53.6374,2011,10,69478.0,63766.85002363869,2410386.9308935422
-112.018,53.6374,2011,11,107209.0,76364.03144981475,2886560.3888029973
-112.018,53.6374,2011,12,107209.0,75320.4992926037,2847114.8732604194
-112.018,53.6374,2012,1,107209.0,79672.18308211064,3011608.5205037827
-112.018,53.6374,2012,2,107209.0,79325.39027544332,2998499.7524117576
-112.018,53.6374,2012,3,107209.0,78200.49449014585,2955978.6917275134
-112.018,53.6374,2012,4,93265.0,72164.29897211934,2727810.5011461107
-112.018,53.6374,2012,5,93265.0,66280.18857749861,2505391.1282294476
-112.018,53.6374,2012,6,93265.0,63710.79553499387,2408268.071222768
-112.018,53.6374,2012,7,93265.0,64236.730537760974,2428148.4143273644
-112.018,53.6374,2012,8,93265.0,64442.395267186,2435922.541099631
-112.018,53.6374,2012,9,93265.0,65105.438979296676,2460985.593417414
-112.018,53.6374,2012,10,93265.0,76517.08700563226,2892345.888812899
-112.018,53.6374,2012,11,113863.0,87641.68585609601,3312855.7253604294
-112.018,53.6374,2012,12,113863.0,92045.14201822055,3479306.368288737
-112.018,53.6374,2013,1,113863.0,89332.35469903173,3376763.0076233987
-112.018,53.6374,2013,2,113863.0,85385.00869994352,3227553.3288578647
-112.018,53.6374,2013,3,113863.0,84385.68249880403,3189778.7984547922
-112.018,53.6374,2013,4,96020.0,77191.5451542172,2917840.40682941
-112.018,53.6374,2013,5,96020.0,65192.09804384743,2464261.3060574327
-112.018,53.6374,2013,6,96020.0,66351.06343330817,2508070.1977790487
-112.018,53.6374,2013,7,96020.0,72853.44084141882,2753860.0638056314
-112.018,53.6374,2013,8,96020.0,76738.42460487722,2900712.4500643588
