Month,Value,A,B,C,D,E,prod_%_diff,Affected_Plants_Count,Gas Plant Frac,Gas Plant Sweet,Gp Acid Gas Flaring,Gp Acid Gas Flaring%,Gp Acid Gas Inj,Gp Mainline Strdle,Gp Sulphur Rcvry,Avg Capacity (1000 m3/d),Year
6,8352580300,116,44,18,6,8,-6.546925479,261.0,0.0,38288.97,4972.6,3240.0,1962.0,0.0,566.0,0.0,2019
7,8737534900,98,58,26,11,15,4.608810525,111.0,0.0,13214.3,3538.1,0.0,2412.1,0.0,0.0,0.0,2019
8,8702985600,74,4,2,5,11,-0.395412441,72.0,0.0,11935.6,2477.0,70.0,2950.0,0.0,642.0,0.0,2019
9,8263800200,20,4,2,0,5,-5.046376269,36.0,0.0,6462.6,555.0,0.0,612.0,0.0,0.0,0.0,2019
10,8818772900,14,5,2,0,3,6.715708107,24.0,0.0,3560.8,0.0,740.0,0.0,0.0,0.0,0.0,2019
11,8749348900,4,0,1,0,3,-0.787229706,24.0,0.0,2765.0,400.0,0.0,612.0,0.0,0.0,0.0,2019
12,9157734000,3,0,1,0,3,4.667605609,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
1,8692327800,9,0,1,0,3,-5.082110924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
2,8359921400,10,0,1,0,3,-3.824135579,6.0,0.0,146.0,0.0,162.0,0.0,0.0,0.0,0.0,2020
3,8779060200,15,0,1,0,3,5.013669148,1.0,0.0,424.9,0.0,0.0,0.0,0.0,0.0,0.0,2020
4,8314961900,56,15,1,0,3,-5.286423483,4.0,0.0,283.2,0.0,0.0,0.0,0.0,0.0,0.0,2020
5,8397966800,137,62,8,1,4,0.998259535,68.0,0.0,10171.83,1013.0,224.0,400.0,0.0,0.0,0.0,2020
6,8048516199,63,19,3,0,3,-4.161133395,177.0,0.0,26342.91,3291.2,1386.0,2202.0,0.0,566.0,0.0,2020
7,8263358899,73,7,4,0,3,2.669345438,92.0,0.0,14053.43,885.0,2606.0,1810.0,0.0,642.0,0.0,2020
8,8286585600,167,12,4,0,3,0.281080627,86.0,0.0,12489.43,1713.2,1263.0,881.1,0.0,0.0,15796840.3,2020
9,7894861600,74,12,3,0,3,-4.727206342,162.0,0.0,21249.77,1075.0,1500.0,600.0,0.0,510.0,0.0,2020
10,8525690900,35,14,5,0,3,7.990378197,67.0,0.0,16609.15,280.0,140.0,0.0,0.0,0.0,15796840.3,2020
11,8409946300,13,5,3,0,1,-1.357597893,20.0,0.0,1384.0,455.0,679.6,0.0,0.0,642.0,0.0,2020
12,8747490200,10,4,2,0,1,4.013627293,45.0,0.0,7125.6,50.0,0.0,600.0,0.0,642.0,0.0,2020
1,8678140300,18,4,2,0,2,-0.792797687,12.0,0.0,2170.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
2,7596222700,26,3,2,0,2,-12.46715958,32.0,0.0,6588.35,114.0,170.0,0.0,0.0,0.0,0.0,2021
3,8859956200,43,12,3,0,2,16.63634085,48.0,0.0,5041.6,1277.1,836.0,281.1,0.0,0.0,0.0,2021
4,8620962500,85,62,12,2,3,-2.697459159,83.0,0.0,14351.25,738.0,1074.0,0.0,0.0,566.0,0.0,2021
5,8749015900,171,91,16,2,3,1.485372428,127.0,0.0,20005.27,1930.6,1686.0,0.0,0.0,0.0,0.0,2021
6,8382386300,112,55,11,3,4,-4.190523874,174.0,0.1,25646.22,3987.7,1516.0,893.1,0.0,1076.0,0.0,2021
7,8845650800,237,106,30,15,13,5.526642216,216.0,0.0,31124.59,2803.7,2477.0,2033.1,0.0,1152.0,15796840.3,2021
8,8976377300,115,57,17,14,11,1.477861866,268.0,0.0,38756.06,2559.1,3230.0,2998.1,0.0,1152.0,0.0,2021
9,8522006000,76,20,2,5,8,-5.061856079,124.0,0.0,20494.18,2036.2,213.0,1548.0,0.0,0.0,0.0,2021
10,9007992400,45,18,5,4,8,5.702723044,76.0,0.0,12024.3,757.1,364.0,281.1,0.0,642.0,0.0,2021
